1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SMU,Tulsa,Oklahoma,TCU,Oklahoma,Oklahoma,Alabama,California,Notre Dame,Arkansas,Notre Dame,North Carolina,Rice,Notre Dame,Kentucky,Baylor,Ohio St.,Sul Ross St.,Florida,USC,Austin,Baylor,MD-Eastern Shore,Iowa,Morris Brown,Oklahoma St.,San Jose St.,Penn St.,South Carolina,Oklahoma,Oklahoma St.,Florida St.,Houston,North Carolina,Kansas St.,Yankton,Wichita St.,Purdue,Nebraska,Houston,Missouri,UCLA,Notre Dame,Auburn,Nebraska,Morgan St.,Iowa St.,San Diego St.,San Diego St.,Mississippi,Texas Tech,Michigan,LSU,North Texas,Miami (FL),North Carolina,Mississippi,Kansas,Texas,Florida St.,Kansas,North Carolina,Cincinnati,Texas A&M,Tulane,Penn St.,Oregon,Ohio St.,Washington,Alabama,Mississippi St.,Central Florida,Eastern Kentucky,Wisconsin,Washington,Miami (FL),Oregon St.,Oregon St.,Florida St.,Virginia,Oregon St.,Alabama,USC,Michigan,Florida,Buffalo,Baylor,North Carolina,Pittsburgh
Yale,Catholic,San Francisco,Nebraska,Fordham,Tulsa,Purdue,Northwestern,Ohio St.,Manhattan,Arkansas,Wake Forest,Indiana,Georgia Tech,Dayton,Ohio St.,Mississippi St.,Syracuse,Indiana,Kansas St.,Baylor,Dayton,Ohio St.,Arkansas Tech,Georgia Tech,Oklahoma,USC,Indiana,Syracuse,Colorado,North Texas,Oklahoma,MD-Eastern Shore,Notre Dame,Wake Forest,Grambling St.,Missouri,Illinois,East Carolina,Houston,New Mexico St.,Memphis,Colorado,Nebraska,Mississippi St.,Georgia,Penn St.,Tennessee St.,Texas,East Carolina,Michigan,Penn St.,Boston College,BYU,Michigan,Texas A&M,Tennessee,Texas-El Paso,Nebraska,New Mexico,UCLA,Arizona St.,New Mexico,Kansas St.,Florida,Pittsburgh,Tennessee,Ark-Pine Bluff,Arkansas,Ohio St.,Oklahoma,Fresno St.,McNeese St.,Maryland,Baylor,South Carolina,Oklahoma,Georgia Southern,Maryland,Stanford,Ohio St.,Ohio,Mississippi St.,BYU,Kentucky,Virginia Tech,UCLA,Oregon,Alabama
Holy Cross,Kansas St.,Duquesne,Carnegie Mellon,Santa Clara,Texas,Washington,Michigan St.,San Francisco,Tennessee,Chattanooga,Navy,Ohio St.,Cornell,TCU,Clemson,California,Colorado,SMU,Brandeis,Kansas St.,Colorado,MD-Eastern Shore,Boston Univ.,USC,Minnesota,Ohio St.,Washington St.,Wichita St.,Emory & Henry,Florida,Tennessee,Ohio St.,Prairie View A&M,Toledo,Missouri,Washington St.,Tennessee Tech,Virginia,Penn St.,Texas A&M,Houston,Penn St.,Kansas,New Mexico,BYU,Wyoming,UCLA,USC,Washington,Houston,Penn St.,Clemson,Texas,Houston,Tennessee,Southern,Texas A&M-Kingsville,Jackson St.,Florida St.,San Jose St.,Washington St.,Michigan,Florida,Oregon,Alabama,Sam Houston St.,Texas,Utah St.,Oregon,Clemson,Penn St.,LSU,Texas,Arizona,Miami (FL),Boise St.,Texas A&M,Mississippi St.,Louisville,Stanford,UCLA,Colorado St.,Boston College,South Carolina,Boston College,LSU,Tulane,Connecticut
NA,Washington,Baylor,Oklahoma,VMI,Michigan,USC,Texas,Alabama/Navy,Illinois,Wisconsin,Bradley,Alabama,Penn St.,Oklahoma,North Carolina,Utah,Army/Mississippi,USC,Virginia Tech,Illinois,Michigan,Virginia,Rice,Purdue,Washington,Marquette,West Texas A&M,Cincinnati,Arkansas,Willamette,Alabama,Arizona,Penn St.,North Carolina Central,Houston,BYU,USC,Alabama A&M,Oklahoma,Dartmouth,Oklahoma,Kansas,Notre Dame,South Carolina St.,LSU,Tulane,Washington,Miami (FL),Notre Dame,Illinois,Washington,Illinois,Chadron St.,Texas A&M,Pittsburg St.,Virginia St.,Stanford,Notre Dame,Arizona,Iowa,Oregon,East Carolina,Auburn,Indiana (PA),Auburn,Oregon St.,UCLA,Washington St.,Connecticut,Arizona St.,North Carolina St.,North Carolina St.,Penn St.,SMU,San Diego St.,Michigan,Georgia,Arizona St.,Louisville,Texas Tech,Louisiana Tech,Louisiana,Charlotte,Oklahoma,North Carolina,Western Kentucky,Louisville,Illinois
NA,Unknown,Auburn,Indiana,Toledo,SMU,Washington,Nebraska,Willamette,Oregon,Central College (IA),Nebraska,St. Louis,Minnesota,St. Edward's,Colgate,SMU,Houston,Alabama,William & Mary,Houston,Colorado,Kansas St.,Willamette,Presbyterian,Northwestern,Auburn,Syracuse,Texas-El Paso,Unknown,Texas St.,Michigan,Western Michigan,Cincinnati,LSU,Texas,Northern Michigan,Kansas,Michigan,Western Kentucky,BYU,Michigan St.,Houston,Knoxville,Wisconsin,South Carolina St.,William & Mary,Oregon,UCLA,Northwestern,Illinois,Fresno St.,Auburn,Oregon St.,Florida,Stanford,Penn St.,Middle Tenn. St.,Auburn,Arizona,Oklahoma,Wyoming,Florida St.,Wisconsin,Kansas St.,Florida St.,Maryland,Fresno St.,LSU,West Virginia,Syracuse,Georgia,Rutgers,North Carolina,Kentucky,Troy,Rutgers,Rutgers,Notre Dame,Texas St.,Georgia,Youngstown St.,Oklahoma,Michigan St.,LSU,Notre Dame,Georgia,Iowa,Michigan
NA,Washington St.,Notre Dame,Cornell,Holy Cross,Wake Forest,Minnesota,Florida,Purdue,Auburn,Auburn,Chattanooga,Youngstown St.,Denver,Washington St.,Tulane,Mississippi St.,Villanova,SMU,Michigan St.,Oregon,Middle Tenn. St.,Illinois,Houston,Syracuse,Yale,San Jose St.,Fresno St.,Wisconsin,Villanova,Memphis,Yale,Michigan St.,Colorado,Johnson C. Smith,Texas,San Diego St.,Tennessee St.,Bowling Green,Georgia,Nebraska,Miami (OH),Oklahoma,Albany State (GA),Texas,UNLV,Arizona St.,Nevada,Pittsburgh,Houston,Memphis,LSU,West Virginia,Georgia,California,Maryland,Troy,Indiana,Northern Illinois,Georgia,Alabama,Ohio St.,Vanderbilt,UCLA,Colorado,Akron,North Dakota St.,Marshall,North Carolina St.,Iowa St.,Wisconsin,Tennessee,Louisville,Mississippi,Texas,Washington,Temple,Georgia,North Carolina,Texas,Virginia Tech,Penn St.,North Carolina St.,Wesern Illinois,Alabama,Iowa,Texas A&M,Texas A&M,Michigan
NA,Michigan,Arkansas,Mississippi,Unknown,Detroit Mercy,Iowa,Oklahoma,St. Francis (PA),San Francisco,Colorado,Army,LSU,Boston College,Notre Dame,Texas,Pacific,Nebraska,Utah,Auburn,USC,TCU,Virginia,South Carolina,California,Wagner,Kansas,Michigan St.,Florida,Baldwin-Wallace,BYU,Houston,Tulsa,Minnesota,Jackson St.,Pittsburg St.,UT Martin,Tennessee St.,Oklahoma,Tennessee St.,Tulsa,UCLA,Tennessee St.,San Jose St.,Utah St.,Central Oklahoma,East Carolina,San Diego St.,Tennessee,Oklahoma,California-Davis,Penn St.,Ohio St.,Texas-El Paso,Michigan St.,San Diego St.,Notre Dame,Kentucky,California,LSU,Ohio St.,Iowa St.,Notre Dame,Texas A&M,Ark-Pine Bluff,Florida St.,USC,Michigan,Michigan,Georgia,Alabama,California,California,Cal Poly-San Luis Obispo,Texas,Central Florida,Unknown,Florida,Southern Miss,Rutgers,Ohio St.,Troy,Tennessee,Louisiana Tech,Utah,Clemson,Houston,Washington St.,Michigan
NA,Temple,Ohio St.,Tennessee,Purdue,Purdue,Marquette,Canisius,Stanford,Marquette,Holy Cross,Detroit Mercy,Pennsylvania,Michigan,Mississippi St.,Washington & Lee,Baylor,Pittsburgh,California,Maryland,Texas A&M,Duke,Syracuse,Northwestern,Virginia Tech,Oregon St.,Colorado,South Carolina,West Virginia,Wisconsin,West Virginia,Nebraska,Georgia,Indiana,Trinity (TX),USC,Notre Dame,Stanford,Notre Dame,USC,Jackson St.,Texas A&M,Ball St.,Michigan,Baylor,Ohio St.,Michigan St.,Oklahoma St.,South Carolina,Kutztown (PA),Boston Univ.,Pittsburgh,Tennessee,Baylor,Washington,Clemson,Miami (FL),Texas Southern,Northwestern,Central Oklahoma,Arizona,Notre Dame,Middle Tenn. St.,Tennessee,Hawaii,Notre Dame,Michigan,Ohio St.,Nevada,Miami (FL),Texas,Iowa,Notre Dame,Georgia,Washington,Miami (FL),Miami (FL),Illinois,Oregon,Northern Iowa,Rutgers,Toledo,Oklahoma,San Diego St.,Utah,Ohio St.,Liberty,Clemson,Kansas
NA,Yale,Northern Colorado,USC,Utah,Cornell,Muhlenberg,Rice,Auburn,Arkansas,Ohio St.,Mississippi St.,Case Western Reserve,Arizona,Michigan St.,Duke,Indiana,Tulsa,Texas Tech,Purdue,Wichita St.,USC,Arizona St.,Michigan,Penn St.,Penn St.,Iowa,Iowa St.,Maryland,Washington,Western Illinois,Tennessee St.,Kent St.,Texas Tech,Wyoming,Alcorn St.,Toledo,Central State (OH),Stanford,Kentucky St.,California-Riverside,Idaho,Washington St.,Richmond,Oklahoma,BYU,Nicholls St.,Washington,Missouri,Stanford,Southern Illinois,Hawaii,North Carolina,Long Beach St.,Mississippi St.,Illinois,Indiana,Pittsburg St.,Tennessee,BYU,Appalachian St.,Notre Dame,Oklahoma St.,Memphis,Wake Forest,Iowa St.,Utah,Texas A&M,Ohio St.,Wisconsin,Northwestern St. (LA),Nebraska,Florida St.,USC,Minnesota,LSU,Cincinnati,Penn St.,Rice,Auburn,Utah St.,California,LSU,Alabama,Alabama,Illinois,San Diego St.,Penn St.,Notre Dame
NA,Marquette,Washington St.,Washington,Oklahoma,North Carolina,Unknown,Baylor,Indiana,Notre Dame,William & Mary,Central Washington,Colorado,Michigan,Kansas St.,Boston College,Michigan St.,Alabama,Detroit Mercy,Oklahoma St.,Abilene Christian,Duke,Pacific,Oregon,Clemson,UCLA,Wisconsin,Texas A&M,Florida A&M,Michigan St.,Iowa St.,Weber St.,South Carolina St.,Morgan St.,Grambling St.,Mississippi,Wake Forest,Louisville,USC,Ohio St.,Texas Southern,Oklahoma,Nebraska,Georgia,USC,Oklahoma,Missouri,Penn St.,Michigan,Miami (FL),Liberty,Iowa,Oregon,TCU,LSU,Texas Tech,Pittsburgh,Virginia,Oklahoma St.,North Carolina,Virginia Tech,Northern Iowa,Washington,Colorado St.,Marshall,Syracuse,Michigan St.,Louisville,Ohio St.,Utah,Virginia Tech,Akron,UCLA,Nicholls St.,The Citadel,Louisville,Arizona,Auburn,West Virginia,LSU,Utah St.,UCLA,Vanderbilt,Utah,Texas,Ohio St.,South Alabama,Auburn,USC
NA,Michigan St.,Elon,Wisconsin,Purdue,Ohio St.,Minnesota,Oklahoma,Penn St.,Tennessee,Oregon,Wesleyan,Bradley,Pennsylvania,TCU,Nebraska-Omaha,Minnesota,Maryland,West Virginia,TCU,McMurry,Rice,George Washington,Villanova,Oklahoma St.,Yale,Texas,Jackson St.,Wichita St.,Cincinnati,San Jose St.,USC,Fresno St.,Utah,Idaho,Arkansas,UCLA,Emporia St.,Kentucky,Ohio St.,Tulsa,Georgia,Georgia Tech,Henderson St.,Notre Dame,West Texas A&M,Baylor,Mississippi Col.,Arizona,Stanford,Texas Tech,Pittsburgh,Arizona,Arkansas,Ferrum,Arkansas,North Carolina St.,Fresno St.,Texas A&M,Texas A&M,Chattanooga,Texas,Texas A&M,Purdue,Virginia Tech,Oregon St.,Purdue,Miami (FL),UCLA,Missouri,Miami (FL),Virginia Tech,West Virginia,South Carolina,Appalachian St.,USC,Unknown,North Carolina,Notre Dame,Oregon St.,South Carolina St.,Texas,TCU,Stanford,Mississippi St.,Michigan,Baylor,Wake Forest,Georgia
NA,Denver,Butler,DePaul,TCU,Alabama,Kentucky,Tulane,Minnesota,Tennessee,Notre Dame,Oklahoma,William & Mary,Auburn,Southern Miss,Louisiana Tech,North Texas,William & Mary,Arkansas,South Carolina,Baylor,East. Oregon,North Carolina,Vanderbilt,Wisconsin,Penn St.,Maryland,Kansas,Arkansas,Auburn,Southern,Northwestern St. (LA),TCU,Purdue,Oregon,Texas,San Diego St.,San Diego St.,North Carolina,Stanford,West Virginia,Purdue,Texas Tech,Oklahoma,Wyoming,Washington,East Carolina,BYU,Penn St.,Baylor,Furman,Texas A&M,Nebraska,Bethune-Cookman,Stanford,Winston-Salem St.,UCLA,SMU,Texas Southern,Virginia Tech,UCLA,Penn St.,Tennessee,San Jose St.,Miami (FL),Kansas St.,Texas A&M,Colorado,Virginia,Cal Poly-San Luis Obispo,Notre Dame,Penn St.,Arkansas,San Jose St.,Ohio,Utah St.,Arkansas,South Florida,Mississippi,Iowa,Notre Dame,Central Florida,South Florida,Penn St.,Florida,Pittsburgh,Memphis,Texas,Boston College
NA,Minnesota,Washington St.,Tennessee,Texas Tech,Oregon,Columbia,Washington St.,Villanova,Dartmouth,Wisconsin,Northwestern,SMU,Dartmouth,Missouri,Illinois,Iowa,Michigan,UCLA,Georgia Tech,North Carolina,Yale,Texas A&M,Purdue,Ohio St.,Michigan St.,Illinois,Ohio St.,West Texas A&M,Dayton,Louisville,Alabama,UT Martin,Pacific,Stanford,Kentucky St.,Louisville,Yale,Iowa St.,Arkansas St.,Utah St.,Nebraska,Florida,Arkansas,Ohio St.,Washington St.,Michigan,Notre Dame,Missouri,Texas-El Paso,Michigan,Northern Illinois,New Mexico St.,Purdue,Notre Dame,Stanford,Pittsburgh,Clemson,Texas Tech,Nebraska,Fresno St.,Ohio St.,Michigan,Florida,Penn St.,Virginia Tech,Villanova,Morgan St.,Georgia Tech,North Carolina St.,USC,Florida St.,Texas,Penn St.,Penn St.,Georgia,Southern Miss,Rutgers,Pittsburg St.,Florida,North Carolina St.,Boston College,Central Florida,Sioux Falls,UCLA,Auburn,Arizona St.,Tulane,Missouri
NA,Georgia Tech,Vanderbilt,Bucknell,Kansas St.,UCLA,Sam Houston St.,Minnesota,Duke,Alma,Colorado,Oklahoma St.,Colgate,Duke,Miami (OH),Michigan St.,Arkansas,Georgia,West Virginia,Mississippi,Maryland,Denver,Bowling Green,Baylor,Texas,Southern Miss,Rice,Moorhead State (MN),Whitworth,Utah,Tennessee St.,Grambling St.,Boston College,Texas A&M-Commerce,Georgia,Massachusetts,New Mexico St.,Colorado St.,Colorado,Nebraska,Temple,Long Beach St.,Vanderbilt,Clemson,USC,Arizona,Minnesota,Arizona St.,Sacramento St.,Illinois,Iowa,Michigan,Oklahoma St.,Syracuse,Pittsburgh,Mississippi,Notre Dame,BYU,Notre Dame,Bowling Green,Penn St.,Arizona St.,Georgia,Arizona St.,Southern Miss,Wisconsin,UCLA,Tennessee,Penn St.,Kentucky,Grambling St.,Stanford,Purdue,Auburn,Arizona St.,LSU,Florida International,West Virginia,LSU,Ohio St.,Texas A&M,Michigan,Western Michigan,USC,Texas,Georgia,UCLA,Oklahoma,Washington
NA,USC,Fordham,Cornell,Alabama,Indiana,Texas,Dubuque,Oregon,Clemson,William & Mary,Illinois,West Virginia,Wesleyan,Texas,Arkansas,Utah,Alabama,Florida,Oklahoma St.,Army,Yale,San Francisco St.,Jackson St.,Wake Forest,Northwestern,LSU,Wisconsin,Arkansas,Lamar,Pittsburgh,Arizona St.,Texas Tech,Grambling St.,Southern,Boston College,Penn St.,New Mexico St.,Ohio St.,BYU,New Mexico,Eastern Illinois,San Jose St.,Kentucky,South Carolina St.,Wyoming,Carson-Newman,Louisiana Tech,Texas,North Carolina,SMU,Arizona,Auburn,Jackson St.,Utah,Virginia,Toledo,Pacific,Tennessee,Washington St.,Nebraska,Kansas,Texas A&M,Florida,BYU,Mississippi St.,Mississippi,Colorado,Georgia Tech,Northwestern,USC,Northern Illinois,Georgia Tech,Georgia,Iowa,California,Clemson,Utah St.,Miami (FL),Stanford,USC,Auburn,Alabama,Notre Dame,Appalachian St.,Northern Iowa,LSU,Georgia,Penn St.
NA,Mississippi St.,Baldwin-Wallace,Purdue,Northwestern,Cornell,St. Thomas,Fordham,Weber St.,Michigan St.,Pennsylvania,Navy,Scranton,San Francisco,TCU,Alabama,Wisconsin,Oregon St.,Washington,Vanderbilt,Oregon,Baylor,Ohio St.,Michigan,LSU,Syracuse,Minnesota,Missouri,North Texas,Washington,Duke,Houston,USC,Occidental,Syracuse,Jacksonville St.,Grambling St.,Truman St.,Minnesota,Georgia,Oregon St.,Bethune-Cookman,West Texas A&M,Arkansas,Concordia-Moorhead (MN),Boston College,Purdue,USC,LSU,Arizona St.,Pittsburgh,Baylor,Boston College,UCLA,USC,Pittsburgh,North Carolina St.,Alabama,Penn St.,Virginia,La-Monroe,Oregon,Oklahoma St.,Kentucky St.,Virginia,Penn St.,Florida St.,Virginia,South Carolina,Oregon,San Diego St.,Stanford,San Diego St.,Hawaii,USC,Hampton,Virginia Tech,Missouri Southern,Towson,Stanford,Ohio St.,Tennessee,Humboldt St.,Auburn,Cincinnati,Georgia,Mississippi,Stanford,Houston Christian
NA,Kentucky,Indiana,Augustana (IL),Tennessee,Notre Dame,Wake Forest,Oregon,Wake Forest,Yale,Ohio St.,Washington,Michigan,Columbia,Purdue,Oklahoma,Alabama,Army/Notre Dame,Tennessee,North Texas,South Dakota St.,George Washington,West Texas A&M,Texas-El Paso,Houston,Arkansas,Ohio St.,Furman,Northwestern St. (LA),Virginia,Princeton,Washington,Fresno St.,California,Penn St.,Auburn,Texas,Florida St.,East Carolina,Minnesota,Oklahoma,North Carolina Central,Colorado,Colorado,Colorado,Ohio St.,Oregon,Arkansas,Illinois,Florida St.,Texas,Boston College,Virginia Union,Syracuse,North Carolina,Wyoming,Notre Dame,Arkansas,North Carolina St.,Washington St.,BYU,Ball St.,Fresno St.,West Virginia,Maryland,Georgia,Nebraska,Virginia,Florida,Virginia,Florida St.,California,Michigan,Alabama,Miami (FL),Texas,Utah,LSU,Michigan,Florida,Michigan,Michigan,Southern Miss,Old Dominion,Arkansas,Notre Dame,Florida,Alabama,Duke
NA,North Carolina St.,Kansas,San Francisco,Iowa,USC,Duquesne,William & Mary,Notre Dame,Fordham,Holy Cross,Iowa St.,Louisiana,Alabama,Minnesota,Boston Univ.,SMU,Texas,Georgia,Maryland,Florida St.,Texas Tech,Duke,West Texas A&M,Kansas,Florida A&M,Villanova,Pacific,Virginia Union,Utah,Univ. of the South,Oklahoma,New Mexico St.,New Mexico St.,Texas-Arlington,Stanford,Arizona St.,Central Oklahoma,Florida,Oklahoma,Texas A&M-Kingsville,Iowa St.,Georgia,Penn St.,Michigan,New Mexico,Georgetown (KY),Maryland,SMU,Michigan St.,James Madison,Boston College,Mississippi,Southern,Grambling St.,Colorado,Mississippi St.,Boston College,Tulsa,North Carolina St.,Florida,Mississippi St.,San Diego St.,Central Florida,Arizona St.,South Florida,Mississippi St.,USC,Purdue,Oklahoma,Georgia Tech,Clemson,Northern Iowa,Oregon St.,Wake Forest,Hawaii,Wake Forest,Arkansas,Georgia Southern,Washington St.,Nebraska,Northern Illinois,Stanford,Mississippi,TCU,Oklahoma,Maryland,Western Kentucky,Florida St.
NA,Washington St.,Georgia,Stanford,California,Northwestern,Manhattan,Duquesne,Ohio St.,UCLA,Franklin & Marshall,Holy Cross,LSU,Bowling Green,Pacific,SMU,Pacific,Maryland,UCLA,Rice,Marshall,Miami (FL),North Carolina,Bridgeport,UCLA,Grambling St.,Cincinnati,Northwestern,Drake,Western Kentucky,Los Angeles St.,Texas-Arlington,Missouri,Florida St.,UCLA,USC,LSU,Temple,West Alabama,North Carolina St.,Toledo,Stanford,Cal Poly-San Luis Obispo,Stanford,Oregon,Arizona St.,Boise St.,Washington,Iowa,Nicholls St.,UCLA,Southern Illinois,LSU,Clemson,Michigan,Pittsburgh,North Carolina,Kentucky,Alabama A&M,Nebraska,Texas A&M,Michigan,Florida,California,James Madison,South Florida,Stanford,Texas,Auburn,Maryland,Michigan St.,Florida,Florida,South Florida,Georgia,Stanford,Miami (FL),Missouri,Kent St.,Oklahoma,Boise St.,Clemson,Michigan,Oklahoma,LSU,Georgia,Illinois,Arkansas,Texas A&M
NA,Utah St.,UC Santa Barbara,Centre,USC,Kansas St.,St. Francis (NY),Arkansas,Boston College,LSU,Oregon St.,North Carolina,Stanford,Texas,LSU,Houston,Texas,Arkansas,Washington,North Texas,Iowa,Unknown,Kansas St.,SMU,Northwestern,Northwestern,Oklahoma St.,Virginia,Northwestern,Corpus Christi,MD-Eastern Shore,UT Martin,Lamar,Wake Forest,Penn St.,Texas-Arlington,Colorado,Tulsa,Nebraska,Colorado,Tennessee St.,West Virginia St.,TCU,UCLA,Houston,Purdue,Virginia Tech,Oklahoma St.,Louisville,Unknown,San Diego St.,Delaware,UCLA,Auburn,Vanderbilt,Georgia,North Carolina,Idaho,South Carolina,Ohio St.,UCLA,Michigan St.,Syracuse,Kentucky,Ohio St.,South Florida,Kentucky,Oregon St.,Purdue,Clemson,Wisconsin,Ohio St.,California,Missouri,Alabama,West Virginia,Delaware,USC,California,Oregon St.,Boston College,Grambling St.,Central Florida,Murray St.,Ohio St.,Wisconsin–Whitewater,Alabama,Baylor,North Carolina St.
NA,Holy Cross,Washington,SMU,Northwestern,Kentucky,Wisconsin,Stanford,Holy Cross,Holy Cross,Illinois,Richmond,Wisconsin,Vanderbilt,Santa Clara,Michigan,Georgia,TCU,Georgia Tech,Texas Tech,Cal Poly-San Luis Obispo,TCU,St. Norbert,Cincinnati,Cincinnati,New Hampshire,Michigan St.,Florida,Tulsa,Grambling St.,North Dakota,Texas-El Paso,Clemson,Kansas,Arizona,Notre Dame,Kentucky,Ark-Pine Bluff,Mississippi,Tulane,Grambling St.,Kansas,East Tennessee St.,Illinois,UNLV,LSU,UNLV,USC,Connecticut,Virginia,Long Beach St.,Boston College,Oklahoma,Florida St.,Tennessee,Rice,Pittsburgh,Washington St.,Oregon St.,USC,Georgia,Florida,Florida St.,Weber St.,Michigan St.,Texas A&M-Kingsville,Ohio St.,Kentucky,Texas Tech,Tennessee,Georgia,Texas-El Paso,Texas-El Paso,Oklahoma,Cincinnati,Mississippi St.,Georgia,Alabama,Colorado St.,TCU,Wisconsin,West Virginia,Boston College,Kentucky,Connecticut,Oregon St.,Purdue,Michigan,Miami (FL)
NA,TCU,Case Western Reserve,Washington,Tulsa,St. Mary's (CA),Colgate,Georgetown (DC),Minnesota,Kansas St.,Ohio St.,Georgia Tech,Rice,Baldwin-Wallace,Penn St.,Stanford,Wisconsin,Nebraska,UCLA,Boston College,Notre Dame,TCU,USC,Pittsburgh,Duke,Texas,North Texas,Miami (FL),Pittsburgh,Minnesota,Florida A&M,MD-Eastern Shore,Arizona St.,New Mexico St.,Texas A&M,Tennessee St.,UCLA,Evansville,UCLA,Ohio St.,California,Mississippi St.,Utah St.,USC,Minnesota,Cal Poly-San Luis Obispo,North Texas,Miami (FL),Utah St.,Notre Dame,Arizona,Georgia Tech,La-Monroe,Penn St.,LSU,Notre Dame,Sam Houston St.,Louisiana Tech,Oregon,Florida St.,Northern Arizona,Florida St.,Alabama,Colorado,Tennessee St.,Auburn,Ark-Pine Bluff,Florida,Ohio St.,Toledo,Penn St.,Louisville,Connecticut,Wisconsin,USC,North Carolina,Miami (FL),Illinois,Clemson,Auburn,Michigan St.,Florida International,Clemson,West Virginia,Clemson,Washington,Cincinnati,Cincinnati,Rice
NA,NA,Minnesota,St. Louis,Stanford,Penn St.,TCU,Michigan,Michigan,LSU,Columbia,Oklahoma,Purdue,West Virginia,Santa Clara,Maryland,Loyola Marymount,Syracuse,Shippensburg,Alabama,Tampa,Otterbein,Los Angeles St.,Tennessee,Minnesota,La-Monroe,Florida,Oklahoma,UCLA,Kansas,Georgia,Miami (OH),USC,Northwestern,Boston College,Toledo,Knoxville,Oklahoma,Northern Michigan,Auburn,Pittsburgh,Duke,Louisiana Tech,Grambling St.,San Jose St.,Miami (FL),Michigan,Clemson,Bowling Green,Wisconsin,Auburn,Grambling St.,Iowa,Chattanooga,Michigan St.,Auburn,Michigan,Florida St.,Fresno St.,Wisconsin,Colorado,Syracuse,Iowa,Ohio St.,Florida St.,Georgia,Northwestern,LSU,Nebraska,Ohio St.,USC,Maryland,Penn St.,Texas A&M,Syracuse,Georgia,Arizona St.,South Carolina,Florida,Arkansas,Oklahoma,Lamar,Indiana,West Virginia,Virginia Tech,Syracuse,Ohio St.,Alabama,Texas
NA,NA,Pittsburgh,Oklahoma,Catholic,North Carolina,Lafayette,Pennsylvania,Bradley,Arkansas,Nevada,Tulsa,Missouri,Miami (FL),Oregon,Purdue,Tennessee,Temple,Minnesota,Louisville,Boston Univ.,Miami (FL),Notre Dame,Florida,TCU,Idaho,Michigan,West Virginia,Clemson,Pittsburgh,Georgia,Syracuse,Michigan St.,Southern Illinois,Miami (FL),Connecticut,Oregon,Michigan St.,California-Riverside,Penn St.,Montana,Tennessee St.,Tennessee St.,Colorado St.,Texas Tech,Tulsa,Boston College,Southern Illinois,Elon,Western Michigan,Miami (FL),Winston-Salem St.,Colorado,Weber St.,La-Monroe,Iowa St.,Florida St.,USC,North Carolina St.,Alabama,Auburn,Mississippi St.,Clemson,California,Arkansas,Vanderbilt,Florida,Florida St.,USC,Iowa,Penn St.,Texas,Wake Forest,Ohio St.,Miami (FL),USC,Michigan St.,TCU,Clemson,Oklahoma,Ohio St.,North Carolina,Ohio St.,Boise St.,Charlotte,Michigan,Georgia,USC,Oregon
NA,NA,North Carolina St.,Ohio,TCU,Mississippi Col.,Stanford,Tulane,Georgia,UCLA,Catawba,Ohio St.,Wisconsin,Arkansas St.,Oregon,Pennsylvania,Northwestern,Texas A&M-Commerce,Pittsburgh,Oregon St.,Michigan St.,Alabama,Alabama,Houston,Army,Tennessee St.,Auburn,Penn St.,North Texas,Rice,Tennessee St.,Northern Michigan,Mississippi,Kentucky,Iowa,Mississippi,Ohio,Boston College,Abilene Christian,Kansas,UCLA,Georgia,Chattanooga,San Diego St.,Baylor,North Carolina,Houston,Tulane,Mississippi St.,Georgia Tech,Occidental,Clemson,Winston-Salem St.,Southern Miss,Stanford,Oklahoma,Florida St.,Washington,California,Miami (FL),Oregon,Wisconsin,North Carolina,Michigan St.,UCLA,Minnesota,Oregon,LSU,TCU,Oklahoma,Missouri,Washington,Winston-Salem St.,Clemson,LSU,Texas,Oklahoma,Texas,Florida St.,Baylor,Notre Dame,Florida Atlantic,Texas Tech,Iowa St.,Colorado,South Carolina,Wisconsin,Old Dominion,Texas A&M
NA,NA,Notre Dame,North Carolina,Howard,Colorado,Marquette,Wisconsin,Arkansas,Northwestern,Illinois,Tulsa,Boston Univ.,Detroit Mercy,Tulsa,Tulane,Stephen F. Austin,Tulsa,Nebraska,Miami (OH),USC,Pittsburgh,Purdue,Michigan St.,Mississippi,Michigan St.,Michigan St.,Florida St.,Notre Dame,Wisconsin,Texas,Texas A&M-Commerce,Nebraska,Minnesota,San Diego St.,Texas A&M-Commerce,Michigan St.,Michigan,Drake,Houston,Michigan,Memphis,Missouri,La-Monroe,Nebraska,Michigan,Virginia,Tennessee,Boston College,West Virginia,Illinois,Oklahoma St.,Southern,Texas A&M,Pittsburgh,Texas A&M,Baylor,Miami (FL),Florida St.,Tennessee,Jackson St.,North Carolina,Virginia Tech,North Carolina St.,Hawaii,Fresno St.,Florida,Oregon,Hawaii,LSU,TCU,Nebraska,UNLV,USC,UCLA,Tennessee,Arkansas,Florida,Oklahoma,Louisville,Temple,Iowa,North Carolina St.,North Carolina St.,Utah,SMU,Wisconsin,Maryland,Texas Tech
