"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"California","Carnegie Mellon","Minnesota","Oregon St.","Denver","Fordham","Arizona","South Carolina","Brown","Notre Dame","Auburn","Syracuse","Ohio","Mississippi","Washington St.","Pacific","Texas","Maryland","Maryland","Georgia","Arizona","Purdue","Houston","Georgia","Syracuse","Oregon St.","Penn St.","West Texas A&M","Iowa","Auburn","Kentucky","Notre Dame","LSU","Florida"
"SMU","Oklahoma","Pittsburgh","California","Texas A&M","Tulane","Tulane","Washington St.","Utah St.","Notre Dame","Tulsa","Oregon St.","West Texas A&M","Villanova","Nebraska","Tulane","North Texas","Michigan St.","Iowa","Detroit Mercy","California","Xavier (OH)","Penn St.","Auburn","Holy Cross","Grambling St.","Western Michigan","Mississippi","Iowa","USC","Notre Dame","San Diego St.","SMU","Iowa"
"Fordham","Northwestern","Nebraska","South Carolina","Pittsburgh","Indiana","South Carolina","TCU","USC","Ohio St.","Connecticut","South Carolina","Kentucky","Arkansas","TCU","Miami (FL)","San Diego St.","Tulsa","Washington St.","Notre Dame","West Virginia","Miami (FL)","Michigan St.","Notre Dame","Penn St.","Whittier","San Jose St.","Whittier","Ohio St.","Pittsburgh","Norfolk St.","Texas Southern","Mississippi","Tennessee"
"Washington St.","Ohio St.","Miami (FL)","Santa Clara","California","Tennessee","Hardin-Simmons","Notre Dame","Fresno St.","SMU","California","North Carolina St.","Pennsylvania","Furman","Boston Col.","Boston Col.","Colorado","USC","Michigan St.","USC","Tennessee","Oklahoma","Mississippi","Penn St.","Illinois","Nebraska","Florida","Washington St.","Georgia Tech","Villanova","Grambling St.","Morgan St.","Wake Forest","Stanford"
"Indiana","Maryland","Colgate","New Mexico","Villanova","Florida","Tennessee","Furman","Tulsa","Vanderbilt","Tennessee","Miami (FL)","Utah St.","Notre Dame","Texas","Illinois","Tulane","Texas A&M","Tulane","Virginia Tech","Iowa","Washington","Oregon St.","Purdue","Wisconsin","Oklahoma","Oklahoma St.","Minnesota","Jackson St.","Boston Col.","Florida","Pittsburgh","Wyoming","Texas A&M"
"Stanford","Tennessee","Iowa","Detroit Mercy","Bucknell","Fordham","Purdue","Washington","Mississippi St.","Minnesota","Notre Dame","Northwestern","Baylor","Oklahoma St.","Wisconsin","Kansas","Arkansas","Missouri","Arizona St.","Nebraska","Purdue","Virginia","Arizona St.","Oregon St.","North Carolina","Fresno St.","Iowa","Washington","Missouri","Syracuse","Tennessee","South Carolina St.","Alabama","Duke"
"LSU","Wisconsin","Alabama","St. Mary's (CA)","Boston Col.","Marshall","Washington St.","Texas","Washington St.","Army","Minnesota","Penn St.","LSU","LSU","Hardin-Simmons","Drake","Mississippi","Cincinnati","Texas A&M","Michigan St.","Utah","Indiana","Michigan St.","Colorado","Purdue","USC","Purdue","Virginia","Michigan","USC","Mississippi","Penn St.","Illinois","UT Martin"
"Duke","VMI","Minnesota","Purdue","North Carolina St.","Nebraska","Santa Clara","Duquesne","Unknown","Georgia","California","Oregon","Chattanooga","SMU","SMU","Miami (FL)","Xavier (OH)","Wake Forest","Furman","Alabama","Valparaiso","Arkansas","Michigan","Notre Dame","Cornell Col.","Arkansas","Mississippi","Utah St.","Pacific","Missouri","USC","Grambling St.","Miami (FL)","Stanford"
"Princeton","TCU","Hardin-Simmons","Ohio St.","George Washington","Wake Forest","Canisius","Texas A&M","Texas Tech","Notre Dame","Texas","Georgia","LSU","Purdue","Notre Dame","Iowa St.","Oregon St.","Maryland","Kansas","Texas","Texas","Detroit Mercy","Rice","Northwestern","North Texas","Syracuse","Boston Col.","Iowa St.","Notre Dame","Utah St.","Ohio St.","Adams St.","Lamar","Tulsa"
"Colgate","Washington","Montana","Iowa St.","USC","Marquette","Minnesota","Penn St.","Minnesota","Duquesne","Michigan","Miami (FL)","Gustavus Adolphus","TCU","Dartmouth","McMurry","Arkansas","Michigan","Michigan St.","Toledo","Indiana","USC","North Carolina Central","Montana St.","Iowa","Tulane","Virginia","Stanford","Notre Dame","San Jose St.","Virginia","Iowa St.","Vanderbilt","Oklahoma St."
