"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
NA,NA,NA,NA,NA,NA,NA,"Washington","USC","Florida","UCLA","Texas A&M-Commerce","Alabama","Georgia","Oklahoma St.","Michigan","Kentucky","Washington St.","Toledo","Purdue","North Carolina St.","Mississippi","USC","East. Washington","Missouri","Central Oklahoma","Furman","USC","New Mexico","Wichita St.","Texas Tech","Southern Miss","Miami (FL)","Missouri"
NA,NA,NA,NA,NA,NA,NA,"William & Mary","Syracuse","Oklahoma St.","Indiana","St. Bonaventure","William & Mary","North Texas","Wake Forest","Tennessee","Buffalo","Duke","Chattanooga","Duke","Boston Col.","Baylor","Syracuse","Georgia Tech","San Bernardino Valley","Wisconsin–River Falls","Delaware","Miami (FL)","Florida","Auburn","Norfolk St.","LSU","Unknown","LSU"
NA,NA,NA,NA,NA,NA,NA,"Texas A&M","Fordham","Santa Clara","Detroit Mercy","Wyoming","Michigan St.","Lock Haven","Fordham","Dayton","S.F. Austin","LSU","Oregon","Penn St.","Holy Cross","Washington","Louisville","Illinois","John Carroll","Vanderbilt","Baldwin-Wallace","Iowa","Michigan","Texas St.","Syracuse","Mississippi","Morehead St.","Bucknell"
NA,NA,NA,NA,NA,NA,NA,"Wisconsin","Unknown","Santa Clara","Tufts","Virginia","Nebraska","Duke","Ball St.","Boston Col.","Mississippi St.","Penn St.","Texas-El Paso","North Texas","Mississippi","Nebraska","Iowa","Los Angeles St.","North Carolina St.","Miami (FL)","Colorado","Miami (FL)","Mississippi","Baylor","San Francisco St.","Illinois Wesleyan","Lenoir-Rhyne","Tuskegee"
NA,NA,NA,NA,NA,NA,NA,"SMU","Texas","Iowa","Syracuse","Vanderbilt","Missouri","Duke","Unknown","Unknown","Scranton","Texas Tech","Mississippi","SMU","Wake Forest","Allegheny","Duke","California","Louisiana","Mississippi","North Carolina A&T","Grambling St.","Kent St.","Florida","Tulsa","Luther","Tennessee","San Jose St."
NA,NA,NA,NA,NA,NA,NA,"Unknown","Mississippi St.","Baylor","Marquette","Minnesota","Wake Forest","TCU","Rice","Kentucky","Central Michigan","Clemson","Sam Houston St.","Marshall","UCLA","Texas A&M-Commerce","Connecticut","Unknown","Iowa","LSU","West Virginia","Virginia Tech","Northwestern","Jackson St.","Idaho","Unknown","Virginia Tech","Sam Houston St."
NA,NA,NA,NA,NA,NA,NA,"Missouri","Northwestern","Rutgers","Pennsylvania","California","California","USC","Midwestern St.","Stanford","California","Duke","Notre Dame","West Virginia","Stetson","Nebraska","McNeese St.","USC","Purdue","Detroit Mercy","Alabama","McNeese St.","North Carolina A&T","Marshall","USC","Albion","Albany State (GA)","Georgia"
NA,NA,NA,NA,NA,NA,NA,"Arkansas","West Virginia","San Francisco","Miami (FL)","Tulsa","Washington & Lee","Utah","Wisconsin","Georgia","Illinois","Bradley","Purdue","Temple","Cornell","Ohio St.","Auburn","Missouri Valley","Houston","Colorado","Purdue","Northern Arizona","Wyoming","New Mexico","Northwestern","Idaho","Notre Dame","Villanova"
NA,NA,NA,NA,NA,NA,NA,"Georgia","Baylor","Oregon","Duke","Illinois","Southern Miss","Wake Forest","Morningside","Iowa St.","Iowa St.","San Jose St.","Georgia","Oregon","North Carolina Central","George Washington","Georgia","Colorado Col.","Pennsylvania","Louisville","Connecticut","Notre Dame","Pittsburgh","Southern","Texas","Miss. Valley St.","North Texas","Tulsa"
NA,NA,NA,NA,NA,NA,NA,"North Carolina St.","Stanford","Wisconsin","Stanford","Iowa","USC","USC","California","Arizona","Michigan St.","Western Maryland","Cal Poly-San Luis Obispo","SMU","Auburn","UCLA","Middlebury","Notre Dame","South Carolina St.","Virginia Tech","Rice","Baylor","Southern Miss","Kansas St.","North Dakota St.","Prairie View A&M","Tulsa","Albany State (GA)"
NA,NA,NA,NA,NA,NA,NA,"Oregon","Northwestern","Pennsylvania","Santa Clara","Texas","Unknown","Wake Forest","Shippensburg","UCLA","Rice","Mississippi","Kansas","TCU","Prairie View A&M","BYU","Oklahoma","Miami (OH)","Chattanooga","Indiana","Missouri","Memphis","Florida A&M","Oregon St.","Gettysburg","Bishop","Florida A&M","Alcorn St."
NA,NA,NA,NA,NA,NA,NA,"Oklahoma St.","Brown","SMU","LSU","Alabama","Texas Tech","West Texas A&M","Georgia","Illinois","Santa Clara","Pacific","South Carolina","Tennessee","Widener","Maryland","Idaho","Tulsa","Utah","Auburn","Baylor","Holy Cross","BYU","Toledo","Alabama","UCLA","Tennessee St.","Oregon St."
NA,NA,NA,NA,NA,NA,NA,"Oregon St.","Holy Cross","Brown","Miami (OH)","Texas","Yale","Arkansas","Wake Forest","Oregon","Missouri State","Wabash","Idaho","Oklahoma","Case Western Reserve","Florida","Kansas","Chattanooga","Heidelberg","Wisconsin","Unknown","Toledo","Unknown","Tennessee St.","Oregon St.","Michigan St.","Georgia Tech","Grambling St."
NA,NA,NA,NA,NA,NA,NA,"Hardin-Simmons","Notre Dame","Nebraska","Detroit Mercy","Otterbein","Southern Oregon","UCLA","Dayton","Miami (FL)","Wisconsin","William & Mary","William & Mary","Unknown","VMI","Vermont","Virginia","SMU","Findlay","Florida A&M","South Dakota St.","Arkansas","Michigan St.","Tulsa","Idaho","Bowling Green","Missouri S&T","Wisconsin"
NA,NA,NA,NA,NA,NA,NA,"Boston Col.","Washington & Lee","Fordham","Mississippi St.","Iowa","Catawba","Kansas","Tulane","Oklahoma St.","Wake Forest","California","Springfield","Abilene Christian","Arizona","Arizona St.","Bradley","Boston Col.","Boston Univ.","Northern Michigan","Alabama","Georgia","North Carolina","Unknown","Memphis","Holy Cross","North Texas","West Texas A&M"
NA,NA,NA,NA,NA,NA,NA,"Colgate","Illinois St.","Wake Forest","Oklahoma","Georgia","Pennsylvania","Purdue","Rensselaer Polytechnic Institute","Southern Miss","Miami (OH)","George Washington","South Carolina","Holy Cross","Florida St.","Auburn","Purdue","Auburn","Purdue","San Francisco St.","McNeese St.","Missouri","Ripon","Massachusetts","Oregon St.","Houston","Long Beach St.","Wyoming"
NA,NA,NA,NA,NA,NA,NA,"Washington St.","Alabama","UCLA","Northwestern","Unknown","Notre Dame","Colorado Mines","Missouri Valley","Arkansas","Washington & Lee","Wake Forest","Miami (OH)","Grambling St.","Marquette","Miami (FL)","West Virginia","Prairie View A&M","Purdue","Virginia Tech","Memphis","Miami (OH)","Toledo","MD-Eastern Shore","Florida","Washington","North Texas","Grambling St."
NA,NA,NA,NA,NA,NA,NA,"Morehead St.","Texas-El Paso","Colorado","Duke","Brown","Georgia","Mississippi St.","Mississippi St.","Unknown","Stanford","Louisville","Louisiana Tech","Texas Southern","Texas","Iowa","Georgia Tech","Hastings","Louisville","Bowling Green","Oregon St.","Memphis","Southern","Wisconsin","San Jose St.","Cornell","New Mexico","Arizona"
NA,NA,NA,NA,NA,NA,NA,"Colorado St.","Presbyterian","Cornell","Florida","Oklahoma St.","Wake Forest","Texas Tech","Western Michigan","Missouri","UCLA","Iowa St.","Utah","Miles","Lafayette","Unknown","Kansas St.","Wisconsin","Georgia","Maryland","Arkansas","Villanova","Utah","Michigan","Adams St.","Heidelberg","Tulsa","Texas A&M-Kingsville"
NA,NA,NA,NA,NA,NA,NA,"Louisiana","Fresno St.","Texas-El Paso","Santa Clara","Connecticut","Oregon","Rice","Mississippi St.","West Virginia","Drake","Baylor","Wisconsin","Colby","Texas Tech","Austin","Oklahoma","Southern Illinois","Toledo","Auburn","LSU","Texas Tech","East. Illinois","Florida St.","Wyoming","Prairie View A&M","Illinois","Grambling St."
NA,NA,NA,NA,NA,NA,NA,"Missouri","Minnesota","Notre Dame","Dayton","Washington","Notre Dame","Oklahoma","Army","Washington St.","Indiana","Southern Miss","SMU","Vanderbilt","Missouri","Villanova","Syracuse","Stanford","Iowa","Purdue","Ohio","Southern Miss","Oregon St.","Illinois","West Virginia","Long Beach St.","San Francisco","Minnesota"
NA,NA,NA,NA,NA,NA,NA,"Occidental","Rochester","Cornell","Washington","Texas A&M-Commerce","Princeton","Nebraska","Denver","Boston Univ.","Duke","Illinois","Georgia Tech","California","UCLA","Minnesota","Bowling Green","Unknown","Army","Maryland","Wisconsin","Syracuse","LSU","Oregon St.","Alabama","San Jose St.","Missouri State","Southern"
NA,NA,NA,NA,NA,NA,NA,"Arkansas","Oklahoma","Unknown","Northwestern","TCU","Muhlenberg","Illinois","Arkansas","Duquesne","Northern Illinois","Texas-El Paso","Temple","Baylor","Notre Dame","Virginia","Grambling St.","Miami (OH)","Presbyterian","Navy","Georgia Tech","Concord","Iowa St.","Tennessee","Oregon","West Texas A&M","Tulsa","Indiana"
NA,NA,NA,NA,NA,NA,NA,"Oregon St.","Villanova","Louisiana","Arkansas–Monticello","Duke","Washington","Kansas","Case Western Reserve","Arnold","Purdue","Colorado","Austin","East. Kentucky","McNeese St.","Marquette","Arizona","Mississippi","Marquette","Washington","Howard Payne","Tulane","Missouri","Louisville","Mississippi St.","Muskingum","Weber St.","Minnesota"
NA,NA,NA,NA,NA,NA,NA,"Wisconsin","Arkansas","Washington St.","Santa Clara","Nevada","Nevada","Pacific","Notre Dame","Oklahoma","Wyoming","UCLA","Arkansas","Kansas St.","East. Kentucky","Tulsa","Murray St.","Arkansas","North Carolina A&T","North Carolina Central","Florida A&M","San Diego St.","Kansas St.","UCLA","Massachusetts","Nebraska","Tulsa","Oregon St."
NA,NA,NA,NA,NA,NA,NA,"Mississippi St.","Oklahoma","Unknown","Washington St.","Rice","Wichita St.","North Carolina","North Carolina","Auburn","Texas","San Jose St.","Wabash","Unknown","Vanderbilt","Butler","Unknown","Clemson","S.F. Austin","Utah","Oregon St.","McMurry","Colorado","Vanderbilt","Mississippi","Alabama","Clemson","Oregon"
NA,NA,NA,NA,NA,NA,NA,"Oklahoma","Northwestern","Auburn","Tulsa","Kansas","Pacific","Oklahoma City","Kentucky","California","Illinois","Indiana","Pacific","Michigan","Pittsburgh","Illinois","UCLA","Ohio St.","Michigan St.","Pittsburgh","Tennessee","Chattanooga","Tampa","Georgia Tech","Rice","Tennessee","Central Michigan","Nebraska-Omaha"
NA,NA,NA,NA,NA,NA,NA,"Texas","Texas","USC","Denver","Cincinnati","Oklahoma St.","Michigan","Stanford","Purdue","Arkansas","Boston Univ.","SMU","Lawrence","Auburn","Notre Dame","Mississippi","Purdue","Panhandle State (OK)","Nebraska","DePauw","Tulsa","Susquehanna","Utah St.","Texas-Arlington","Michigan St.","Boston Col.","Georgia Tech"
NA,NA,NA,NA,NA,NA,NA,"Tulsa","Oklahoma","Georgia","Tulsa","California","Miami (OH)","Unknown","SMU","Virginia","Colorado/Army","Wake Forest","Austin","Southern Miss","Md-Eastern Shore","North Carolina","Michigan St.","Mississippi","Oklahoma","Idaho St.","Fresno St.","Penn St.","Memphis","USC","Purdue","Kent St.","BYU","Ohio"
NA,NA,NA,NA,NA,NA,NA,"Florida","UCLA","San Francisco","Cincinnati","Southern Miss","Mount Union","Tulsa","Louisville","Illinois","Villanova","Purdue","Bowling Green","Iowa","Georgia Tech","Heidelberg","Florida","Georgia Tech","Wichita St.","Mississippi St.","Marshall","Miami (FL)","Detroit Mercy","Oregon St.","Notre Dame","Findlay","San Francisco St.","Catawba"
NA,NA,NA,NA,NA,NA,NA,"Oregon","Boston Col.","Notre Dame","Denver","California","South Carolina","Notre Dame","Northwestern","Notre Dame","Missouri","Auburn","West Chester","Dayton","Jackson St.","North Carolina St.","Denver","Clemson","Wisconsin","Bakersfield JC","Baylor","Miami (OH)","Western Michigan","Duke","Tennessee","Jackson St.","Miss. Valley St.","Montana"
NA,NA,NA,NA,NA,NA,NA,"Alabama","Duke","SMU","Cornell","Wisconsin","Missouri","Texas A&M-Kingsville","Auburn","South Dakota St.","Virginia","TCU","Stanford","Bucknell","Baylor","Duke","Wake Forest","Elon","TCU","North Carolina Central","Washington St.","BYU","Notre Dame","Washington","San Francisco St.","Mississippi St.","Oregon St.","Emory & Henry"
NA,NA,NA,NA,NA,NA,NA,"Duquesne","California","Tulane","Dartmouth","TCU","New Hampshire","San Francisco","Baylor","Holy Cross","Murray St.","Iowa St.","Houston","Texas","Minnesota","South Carolina","Navy","Oklahoma","USC","Kentucky","Marquette","North Carolina Central","Northern Michigan","Clemson","Arkansas","Oklahoma","Southern","Miss. Valley St."
NA,NA,NA,NA,NA,NA,NA,"Minnesota","USC","Kansas St.","Colgate","Baldwin-Wallace","Hardin-Simmons","California","Hardin-Simmons","Missouri","LSU","Northwestern","Kentucky","Tennessee","LSU","Kansas","Texas","Minnesota","Lamar","Illinois","Grambling St.","Illinois","Iowa","Wisconsin","Iowa St.","Missouri","Michigan","Ark-Pine Bluff"
NA,NA,NA,NA,NA,NA,NA,"Shurtleff","Michigan St.","Alabama","LSU","Washington St.","Colorado","Texas-El Paso","Notre Dame","Texas Tech","Mississippi","Arizona","Georgia","Howard Payne","Auburn","South Carolina","Drake","Shaw","Shepherd","Los Angeles St.","Michigan St.","LSU","Texas St.","Dayton","Wisconsin–Eau Claire","Grambling St.","Mississippi","Ohio St."
NA,NA,NA,NA,NA,NA,NA,"Tulane","Auburn","Tennessee","Florida","Penn St.","Miami (OH)","Lehigh","Alabama","South Carolina","Kansas","Dayton","North Carolina St.","Denver","West Chester","Florida A&M","Unknown","North Carolina St.","McMurry","Indiana","Mississippi St.","Unknown","Tennessee St.","San Diego St.","Illinois","Iowa St.","Houston","Wyoming"
NA,NA,NA,NA,NA,NA,NA,"Idaho","LSU","Washington","Tennessee","Arkansas","William & Mary","Nevada","Yale","Wichita St.","William & Mary","Col. of Idaho","Utah","Florida St.","Oklahoma","Georgia","Western Kentucky","Ripon",NA,"Ohio St.","Kentucky","Georgia Tech","USC","Northwestern","C.W. Post","Miami (FL)","Illinois","Hawaii"
NA,NA,NA,NA,NA,NA,NA,"Notre Dame","Duke","Rochester","Boston Univ.","Rice","SMU","McMurry","Notre Dame","Wisconsin","Stanford","Army/Mississippi","Colorado","Virginia Tech","Whittier","Michigan","North Texas","Wyoming",NA,"Bakersfield JC","Maine","TCU","Nebraska","Stanford","Nebraska","Northwestern","Indiana","Wisconsin–Platteville"
NA,NA,NA,NA,NA,NA,NA,"Georgia Tech","Centenary","Georgia","Mississippi","Texas Tech","Texas-El Paso","Arkansas","Northwestern","Tulsa","Hardin-Simmons","Bucknell","Pacific","East. Michigan","Contra Costa JC","UCLA","Oregon","Colorado",NA,"Augustana (SD)","Florida St.","North Carolina A&T","Prairie View A&M","Evansville","Alabama","Dubuque","Washington","Kansas"
NA,NA,NA,NA,NA,NA,NA,"Illinois","Indiana","Rice","Kentucky","Missouri","Clemson","Cornell","Minnesota","Minnesota","TCU","Utah","Michigan St.","Clemson","Notre Dame","Missouri","Cal Poly-San Luis Obispo","West Virginia",NA,"Louisville","Unknown","Colorado","LSU","Bradley","Wisconsin–Stevens Point","Nebraska","Florida A&M","Utah St."
NA,NA,NA,NA,NA,NA,NA,"Pittsburgh","Muhlenberg","Villanova","Tulsa","Northwestern","Toledo","Texas A&M","California","Tulsa","Abilene Christian","Alabama","Unknown","Houston","Texas Tech","Houston","New Mex. Highlands","Richmond",NA,"Baylor","LSU","Bakersfield JC","Villanova","North Carolina","Duke","USC","Michigan St.","Fairmont St."
NA,NA,NA,NA,NA,NA,NA,"Tulsa","Michigan St.","South Carolina","Washington","Tennessee","Idaho","Baldwin-Wallace","Arizona","TCU","Georgia","South Carolina","Abilene Christian","Georgia Tech","San Jose St.","Indiana","Mississippi","Washington",NA,"Duke","Illinois","Humboldt St.","Southern","Texas Tech","Toledo","Fresno St.","Weber St.","North Dakota St."
NA,NA,NA,NA,NA,NA,NA,"Western Michigan","Purdue","Tennessee","Oregon St.","Texas A&M","Iowa","Georgia Tech","Boston Col.","Drake","Illinois","TCU","Miami (FL)","Wisconsin","Mississippi St.","Southern Miss","Utah","Chattanooga",NA,"Montana","Richmond","Mississippi St.","Morgan St.","Wagner","Arkansas Tech","St. Norbert","Louisville","Maryland"
NA,NA,NA,NA,NA,NA,NA,"Wisconsin","South Carolina","Iowa St.","Indiana","Wake Forest","Oklahoma City","Indiana","Oregon","Loyola Marymount","Tennessee","Alabama","North Texas","LSU","SMU","Tulane","Linfield","Washington",NA,"Colorado St.","Arizona St.","Chattanooga","Iowa St.","Texas Tech","Oregon","NW Oklahoma St.","Colorado St.","Dayton"
NA,NA,NA,NA,NA,NA,NA,"Duquesne","Kansas St.","Stanford","Texas A&M","Dartmouth","Unknown","North Carolina","Cincinnati","SMU","Hardin-Simmons","North Texas","TCU","Kansas","Villanova","Georgia Tech","Tulane","Arkansas",NA,"Holy Cross","Fresno St.","Indiana","Grambling St.","Wake Forest","Ohio St.","Alcorn St.","Jackson St.","Boston Col."
NA,NA,NA,NA,NA,NA,NA,"Syracuse","Pacific","Oklahoma St.","Alabama","Notre Dame","North Carolina St.","Iowa","Oklahoma","Idaho","Mississippi","Louisiana College","West Virginia","Cal State-Chico","Unknown","West Virginia","TCU","Wisconsin",NA,"Texas A&M","St. Olaf","George Washington","Michigan St.","Oklahoma","West Texas A&M","Illinois","Minnesota","UC Santa Barbara"
NA,NA,NA,NA,NA,NA,NA,"UCLA","Mississippi St.","Michigan St.","SMU","Kentucky","North Texas","Pennsylvania","Kentucky","Army","Michigan St.","Washington & Lee","Middle Tenn. St.","Midwestern St.","Kentucky","Lamar","Arkansas","North Carolina",NA,"Indiana","Utah St.","Jackson St.","Marshall","Notre Dame","Pittsburgh","Western Michigan","Utah","Unknown"
NA,NA,NA,NA,NA,NA,NA,"Western Michigan","Richmond","SMU","Oregon","Washington St.","Boston Col.",NA,"Maryland","Oregon","Baylor","Rice","Illinois","Mississippi","Unknown","LSU","Iowa St.","Michigan",NA,"North Carolina St.","Presbyterian","Texas-El Paso","Texas Southern","Purdue","Louisville","Tennessee St.","Middle Tenn. St.","North Carolina St."
NA,NA,NA,NA,NA,NA,NA,"Temple","Notre Dame","Wooster","Penn St.","Villanova","Florida",NA,"Washington","Fordham","San Diego St.","Toledo","Duke","Texas Tech","Notre Dame","John Carroll","Idaho St.","Drake",NA,"Presbyterian","Colorado","Arizona St.","Auburn","Alcorn St.","Baylor","North Carolina Central","Miami (FL)","Wisconsin"
NA,NA,NA,NA,NA,NA,NA,"Arkansas","USC","Pittsburgh","Purdue","Muhlenberg","Colorado Col.",NA,"Utah","Pennsylvania","USC","Virginia","Fresno St.","Montana St.","Clemson","Purdue","Col. of Idaho","Kentucky",NA,"Long Beach St.","Baylor","Utah St.","Rice","Washington St.","Illinois","Furman","Iowa St.","Virginia"
NA,NA,NA,NA,NA,NA,NA,"Missouri","Unknown","USC","Illinois","Oklahoma","USC",NA,"Iowa St.","Texas","Colgate","Kansas","Morgan St.","George Washington","Pittsburgh","Tulane","Indiana","West Virginia",NA,"Florida St.","Drake","Youngstown St.","Arizona St.","Louisiana","Georgia Tech","Virginia","S.F. Austin","Auburn"
NA,NA,NA,NA,NA,NA,NA,"Holy Cross","Stanford","William & Mary","Georgia Tech","Detroit Mercy","Arizona",NA,"Scranton","Boise St.","Texas A&M","Washington St.","Ohio St.","South Dakota St.","San Jose St.","Mississippi","Unknown","Tennessee",NA,"New Mexico St.","Georgia","Indiana","Oregon","Michigan St.","Virginia Union","Northern State Univ.","Oklahoma","Illinois"
NA,NA,NA,NA,NA,NA,NA,"Texas","Fordham","Villanova","Georgia","BYU","Virginia",NA,"USC","Alabama","Holy Cross","USC","Northwestern","Arkansas Tech","Cincinnati","Ohio St.","Tennessee","Pittsburgh",NA,"South Carolina","Pittsburgh","West Virginia","Winona St.","Ball St.","Md-Eastern Shore","Penn St.","Utah St.","Cornell"
NA,NA,NA,NA,NA,NA,NA,"Washington","Marquette","Alabama","Georgia Tech","William & Mary","Nevada",NA,"Mississippi","Marquette","Montana St.","Memphis","William & Mary","Pittsburgh","S.F. Austin","Utah St.","West Texas A&M","North Carolina A&T",NA,"Iowa","Langston","Washington","Louisville","Iowa St.","Memphis","Northern Illinois","West Virginia","Weber St."
NA,NA,NA,NA,NA,NA,NA,"Shurtleff","Cornell","Ohio St.","Georgia Tech","Connecticut","Tulsa",NA,"Hillsdale","Tulsa","North Carolina St.","Maryland","Northeastern","Texas Tech","Southern Miss","Kansas","Washington St.","Hardin-Simmons",NA,"Tulsa","Tulane","Utah St.","Wittenberg","John Carroll","New Mexico St.","Louisiana Tech","Iowa St.","Purdue"
NA,NA,NA,NA,NA,NA,NA,"San Francisco","St. Mary's (CA)","Oklahoma","Colorado","Texas Tech","Georgia Tech",NA,"Murray St.","Mississippi St.","Minnesota","Auburn","Purdue","LSU","Furman","Idaho St.","Duke","William & Mary",NA,"Wyoming","Murray St.","North Texas","Northern Arizona","Southeastern Louisiana","Texas A&M","Tennessee St.","Truman St.","Alabama"
NA,NA,NA,NA,NA,NA,NA,"Missouri","Iowa St.","Stanford","Texas Tech","Stanford","Duke",NA,"Michigan","Army","Colorado St.","Florida","Purdue","Army","Ohio St.","Purdue","Monmouth","Utah St.",NA,"Davidson","Los Angeles St.","Bowling Green","Howard Payne","Tulsa","Northern Iowa","Stanford","Morris Brown","North Carolina St."
NA,NA,NA,NA,NA,NA,NA,"Unknown","Santa Clara","Drake","Maryland","North Carolina","Tulane",NA,"Baldwin-Wallace","Clemson","Santa Clara","Michigan","Purdue","Arizona","Notre Dame","Hardin-Simmons","Auburn","Iowa St.",NA,"Northern Michigan","Linfield","Rutgers","Lehigh","South Carolina","Whitworth","Cortland St.","Doane","Kentucky"
NA,NA,NA,NA,NA,NA,NA,"Colgate","Nebraska","Tulsa","UCLA","South Carolina","Unknown",NA,"Kansas","Boston Col.","Texas","Midwestern St.","North Texas","Oklahoma","Memphis","East. Kentucky","Luther","Lehigh",NA,"Bowling Green","Fresno St.","St. Thomas","Xavier (OH)","Nebraska","Pittsburgh","North Carolina Central","Louisiana Tech","Texas-Arlington"
NA,NA,NA,NA,NA,NA,NA,"Rutgers","Kansas","Boston Col.","North Carolina","Navy","San Francisco",NA,"Wisconsin","Montana","UC Santa Barbara","Duke","Duke","Maryland","Missouri","Virginia Tech","Florida St.","TCU",NA,"South Dakota St.","Georgia Tech","Hampton","Mississippi","Utah St.","Georgia Tech","Florida","Hofstra","Ark-Pine Bluff"
NA,NA,NA,NA,NA,NA,NA,"Villanova","Illinois","LSU","Virginia","Texas","Central Michigan",NA,"Oklahoma","LSU","Valparaiso","Texas St.","BYU","Southeastern Louisiana","UCLA","Cincinnati","South Carolina","Lewis & Clark",NA,"Boston Univ.","Syracuse","Grambling St.","Norfolk St.","Ohio St.","Georgia","Oregon St.","Utah","Georgia"
NA,NA,NA,NA,NA,NA,NA,"Ohio Wesleyan","Colorado","LSU","Holy Cross","Texas A&M","Mississippi",NA,"Indiana","Austin Peay St.","LSU","South Dakota St.","LSU","East. Kentucky","Georgia","Boston Univ.","SE Missouri St.","Colorado St.",NA,"Penn St.","California","Fresno St.","Georgia","Florida","Washington","Texas A&M","Kansas","Boston Col."
NA,NA,NA,NA,NA,NA,NA,"Duquesne","Rice","Fordham","Minnesota","Bucknell","Pennsylvania",NA,"Mississippi","John Carroll","San Francisco","Tulane","St. Olaf","Minnesota","Washington","Houston","South Carolina","Southern",NA,"Western Illinois","Florida St.","Occidental","Whitworth","Arizona St.","West Alabama","Kalamazoo","Morgan St.","LSU"
NA,NA,NA,NA,NA,NA,NA,"Northwestern","New Hampshire","Illinois","Tennessee","Stanford","Tulsa/Army",NA,"Kansas","North Texas","Michigan St.","Detroit Mercy","Mississippi","West Virginia","Pittsburgh","Florida","Mississippi","Southeastern Louisiana",NA,"Iowa St.","UCLA","Auburn","Mississippi","Louisiana College","Illinois","Jackson St.","Wisconsin","Morris Brown"
NA,NA,NA,NA,NA,NA,NA,"Rice","North Carolina","Western Michigan","Texas A&M","Army","Notre Dame",NA,"South Dakota","Wisconsin–Eau Claire","Iowa St.","Miami (OH)","Georgia Tech","LSU","Michigan","Hampden-Sydney","Sam Houston St.","Denver",NA,"Ohio St.","Utah St.","Arkansas","SMU","Wisconsin","Austin Peay St.","BYU","Parsons","Notre Dame"
NA,NA,NA,NA,NA,NA,NA,"Ohio","Oregon St.","Detroit Mercy","San Francisco","St. Ambrose","California",NA,"Iowa St.","Gustavus Adolphus","Army","Kentucky","Florida A&M","Minnesota","Oklahoma St.","Hardin-Simmons","Florida St.","Illinois",NA,"Georgia Tech","Southern Illinois","Miami (FL)","Arkansas","USC","Illinois","Arizona St.","Hampton","Maryland"
NA,NA,NA,NA,NA,NA,NA,"Millikin","Northwestern","Maryland","Arkansas","Georgia","Indiana",NA,"Loyola Marymount","Oklahoma","Mississippi","Mississippi","Penn St.","Florida","Idaho St.","Pittsburgh","North Carolina St.","McMurry",NA,"San Jose St.","Minnesota","San Francisco St.","Minnesota","Kansas St.","Kansas St.","Washington St.","Pennsylvania","North Dakota St."
NA,NA,NA,NA,NA,NA,NA,"Texas","Scranton","Nevada","Dartmouth","Cincinnati","Purdue",NA,"Hanover","Lehigh","Maryland","American Int.","Villanova","Colorado St.","Duke","Pacific","Texas A&M-Commerce","Vanderbilt",NA,"Tennessee Tech","Valparaiso","Texas","Wichita St.","Boston Col.","Michigan","Emporia St.","Arkansas St.","Texas-El Paso"
NA,NA,NA,NA,NA,NA,NA,"LSU","Kentucky","Stanford","Newberry","Holy Cross","Georgia",NA,"Unknown","John Carroll","Arizona","Georgia Tech","Mississippi","Alabama","Mississippi","Northwestern","Mississippi","NW Missouri St.",NA,"Northwestern","Ohio St.","McMurry","Nebraska","Prairie View A&M","San Jose St.","Morgan St.","North Texas","Morgan St."
NA,NA,NA,NA,NA,NA,NA,"Alabama","Kentucky","Colorado Mines","Georgia","South Carolina","Texas",NA,"Washington St.","Pepperdine","Mississippi","Alabama","California","Washington St.","Howard Payne","Duke","UCLA","Duke",NA,"Colorado St.","Kansas","Auburn","San Diego St.","NE State (OK)","Nebraska-Omaha","Delaware","Arizona","SMU"
NA,NA,NA,NA,NA,NA,NA,"Florida","Notre Dame","USC","Duke","Pennsylvania","Michigan St.",NA,"Occidental","Utah","Duke","Navy/Syracuse","Rice","Duke","Unknown","Texas A&M","Utah","Ohio St.",NA,"Lake Forest","Washington St.","Vanderbilt","Pittsburgh","Princeton","Massachusetts","Texas-El Paso","Houston","Iowa St."
NA,NA,NA,NA,NA,NA,NA,"Fordham","Oklahoma","Texas","Clemson","Tulane","UC Santa Barbara",NA,"Unknown","Michigan St.","Indiana","Tulane","Army","Wyoming","Washington St.","Southeastern Louisiana","Washington St.","Houston",NA,"Central Oklahoma","Michigan","Pittsburgh","Missouri","Benedictine","Unknown","Nebraska-Kearney","South Carolina St.","Alcorn St."
NA,NA,NA,NA,NA,NA,NA,"Pittsburgh","Missouri","Duke","Harvard","Yale","Maryland",NA,"Penn St.","Nebraska-Omaha","Miami (OH)","Fresno St.","Pennsylvania","Elizabeth City St.","Syracuse","Maryland","South Carolina","Florida",NA,"Washington","Northwestern","Baldwin-Wallace","John Carroll","Notre Dame","USC","Virginia","Colgate","Yale"
NA,NA,NA,NA,NA,NA,NA,"Wisconsin","Creighton","Boston Col.","California","Delaware","Arizona",NA,"Purdue","Georgia","Maryland","Syracuse","Ohio","Utah","Central Michigan","Yale","Detroit Mercy","Oklahoma St.",NA,"Notre Dame","South Carolina","Texas Southern","Syracuse","Iowa","Albion","TCU","Northland (WI)","Alcorn St."
